DESCRIPTION,DATE,AMOUNT,TRANSACTION TYPE,Merchant,Signed Amount,YEAR,Month,Day,reference_number_improved,Category
dear upi user ac x5904 debited 1500.0 date 09jun25 trf om prakash refno 516083432972. u call 1800111109. sbi,2025-09-06,1500.0,debited,om prakash,-1500.0,2025,9,6,516083432972,Personal & Others
dear upi user ac x5904 debited 30.0 date 03jun25 trf arun kumar refno 515451151630. u call 1800111109. sbi,2025-03-06,30.0,debited,arun kumar,-30.0,2025,3,6,515451151630,Personal & Others
"dear sbi user, ac x5904credited rs.300 23may25 transfer raj kumar hukam singh ref 514388495397 sbi",2025-05-23,300.0,debited,raj kumar so hukam singh,-300.0,2025,5,23,514388495397,Personal & Others
"dear sbi user, ac x5904credited rs.140 16may25 transfer sahil . ref 513670153571 sbi",2025-05-16,140.0,credited,sahil,140.0,2025,5,16,513670153571,Personal & Others
ac xxxxx455904 credit upidrc51959707237214072025 rs 60.00 150725. avl bal rs 320.29.sbi,2025-07-15,60.0,credited,unknown,60.0,2025,7,15,51959707237214072025,Personal & Others
", ac x5904credited rs.5000 09jun25 raj kumar hukam singh ref 516084682736",2025-09-06,5000.0,credited,raj kumar so hukam singh,5000.0,2025,9,6,516084682736,Personal & Others
", ac x5904credited rs.375 09jun25 ujjwal katoch ref 516041093286",2025-09-06,375.0,credited,ujjwal katoch,375.0,2025,9,6,516041093286,Personal & Others
", ac x5904credited rs.375 09jun25 shivam choudhary ref 516082753508",2025-09-06,375.0,credited,shivam choudhary,375.0,2025,9,6,516082753508,Personal & Others
", ac x5904credited rs.5000 07jun25 raj kumar hukam singh ref 515872488860",2025-07-06,5000.0,credited,raj kumar so hukam singh,5000.0,2025,7,6,515872488860,Personal & Others
", ac x5904credited rs.40 27may25 nikhil bhardwaj ref 514797856171",2025-05-27,40.0,credited,nikhil bhardwaj,40.0,2025,5,27,514797856171,Personal & Others
", ac x5904credited rs.50 23may25 ujjwal katoch ref 514390212548",2025-05-23,50.0,credited,ujjwal katoch,50.0,2025,5,23,514390212548,Personal & Others
", ac x5904credited rs.10 27may25 rohit kumar ref 514796858516",2025-05-27,10.0,credited,rohit kumar,10.0,2025,5,27,514796858516,Personal & Others
ac x5904 350.0 08may25 trf suraj sharma refno 512804309732. .,2025-08-05,350.0,debited,suraj sharma,-350.0,2025,8,5,512804309732,Personal & Others
"dear sbi user, ac x5904credited rs.2750 19apr25 transfer raj kumar hukam singh ref 510970112755 sbi",2025-04-19,2750.0,credited,raj kumar so hukam singh,2750.0,2025,4,19,510970112755,Personal & Others
dear upi user ac x5904 debited 9.0 date 18apr25 trf suraj sharma refno 510855071766. u call 1800111109. sbi,2025-04-18,9.0,debited,suraj sharma,-9.0,2025,4,18,510855071766,Personal & Others
"dear sbi user, ac x5904credited rs.3500 06apr25 transfer raj kumar hukam singh ref 509691153493 sbi",2025-06-04,3500.0,credited,raj kumar so hukam singh,3500.0,2025,6,4,509691153493,Personal & Others
dear upi user ac x5904 debited 10.0 date 06apr25 trf vinod kumar refno 509679134855. u call 1800111109. sbi,2025-06-04,10.0,debited,vinod kumar s o,-10.0,2025,6,4,509679134855,Personal & Others
dear upi user ac x5904 debited 20.0 date 02mar25 trf thakur confectio refno 542708422648. u call 1800111109. sbi,2025-02-03,20.0,debited,thakur confectio,-20.0,2025,2,3,542708422648,Food & Dining
rs. 146.00 debited airtel payments bank ac txn id 549457841706 balance208.90 discrepancy dial 180023400,2025-12-04,146.0,debited,airtel payments bank,-146.0,2025,12,4,549457841706,Financial
rs. 146.00 debited airtel payments bank ac txn id 549457841706 balance208.90 discrepancy dial 180023400,2025-07-05,146.0,debited,airtel payments bank,-146.0,2025,7,5,549457841706,Financial
"airtel payments bank ac credited rs.350.00. txn id 512804309732. issues, call 180023400",2025-09-02,350.0,credited,airtel payments bank,350.0,2025,9,2,512804309732,Financial
"airtel payments bank ac credited rs.350.00. txn id 512804309732. issues, call 180023400",2025-10-01,350.0,credited,airtel payments bank,350.0,2025,10,1,512804309732,Financial
dear upi user ac x3311 debited 30.0 date 19jun25 trf mrs bhavana dev refno 808434234720.if u call 180011109 sbi,2025-06-19,30.0,debited,mrs bhavana dev,-30.0,2025,6,19,808434234720,Personal & Others
dear upi user ac x3311 debited 40.0 date 23jun25 trf sharma shudh vai refno 913122124114.if u call 180011109 sbi,2025-06-23,40.0,debited,sharma shudh vai,-40.0,2025,6,23,913122124114,Personal & Others
dear upi user ac x3311 debited 29.0 date 14jul25 trf jio recharge refno 983605382104.if u call 180011109 sbi,2025-07-14,29.0,debited,jio recharge,-29.0,2025,7,14,983605382104,Bills & Utilities
dear upi user ac x3311 debited 20.0 date 01aug25 trf ravi kumar refno 485841309192.if u call 180011109 sbi,2025-01-08,20.0,debited,ravi kumar,-20.0,2025,1,8,485841309192,Personal & Others
dear upi user ac x3311 debited 50.0 date 31jul25 trf ravi kumar refno 066977578000.if u call 180011109 sbi,2025-07-31,50.0,debited,ravi kumar,-50.0,2025,7,31,066977578000,Personal & Others
dear upi user ac x3311 debited 30.0 date 31jul25 trf ravinder prakash refno 848665352206.if u call 180011109 sbi,2025-07-31,30.0,debited,ravinder prakash,-30.0,2025,7,31,848665352206,Personal & Others
dear upi user ac x3311 debited 50.0 date 27may25 trf ravi kumar refno 7970070447621.if u call 180011109 sbi,2025-05-27,50.0,debited,ravi kumar,-50.0,2025,5,27,7970070447621,Personal & Others
dear upi user ac x3311 debited 240.0 date 15jul25 trf shrestha thakur refno 65488184390.if u call 180011109 sbi,2025-07-15,240.0,debited,shrestha thakur,-240.0,2025,7,15,65488184390,Personal & Others
dear upi user ac x3311 debited 899.0 date 23jul25 trf suraj sharma refno 946654232244.if u call 180011109 sbi,2025-07-23,899.0,debited,suraj sharma,-899.0,2025,7,23,946654232244,Personal & Others
flipkart payments requested money phonepe.rs.193 debited account approving request,2025-07-18,193.0,debited,flipkart payments,-193.0,2025,7,18,,Shopping
dear upi user ac x3311 debited 300.0 date 23jul25 trf mrs bhavana dev refno 603519447606.if u call 180011109 sbi,2025-07-23,300.0,debited,mrs bhavana dev,-300.0,2025,7,23,603519447606,Personal & Others
flipkart payments requested money phonepe.rs.187 debited account approving request,2025-08-07,187.0,debited,flipkart payments,-187.0,2025,8,7,,Shopping
flipkart payments requested money phonepe.rs.211 debited account approving request,2025-11-02,211.0,debited,flipkart payments,-211.0,2025,11,2,,Shopping
dear upi user ac x3311 debited 19.0 date 01jul24 trf jioin app direct refno 4549532929215.if u cal 1800111109 sbi,2024-01-07,19.0,debited,jioin app direct,-19.0,2024,1,7,4549532929215,Bills & Utilities
dear upi user acx3311 debited 165.0 date 29nov24 trf zomato ltd refno 045038902732 .if ucall 1800111109 sbi,2024-11-29,165.0,debited,zomato ltd,-165.0,2024,11,29,045038902732,Food & Dining
dear upi user ac x3311 debited 40.0 date 02may24 trf jk readymade ga refno 412317394097. u call 1800111109 sbi,2024-02-05,40.0,debited,jk readymade ga,-40.0,2024,2,5,412317394097,Shopping
flipkart payments requested money phonepe.rs.750 debited account approving request,2024-12-12,750.0,debited,flipkart payments,-750.0,2024,12,12,,Shopping
dear upi user ac x3311 debited 20.0 date 01aug25 trf ravi kumar refno 485841389192.if u call 180011109 sbi,2025-01-08,20.0,debited,ravi kumar,-20.0,2025,1,8,485841389192,Personal & Others
dear upi user ac x3311 debited 20.0 0n date 29may24 trf gupta cafe refno 415040819790.if ucall 1800111109 sbi,2024-05-29,20.0,debited,gupta cafe,-20.0,2024,5,29,415040819790,Food & Dining
flipkart payments requested money phonepe.rs.163 debited account approving request,2025-07-24,163.0,debited,flipkart payments,-163.0,2025,7,24,,Shopping
dear upi user ac x3311 debited 250.0 0n date 25dec24 trf zomato ltd refno 415689467824 .if ucall 1800111109 sbi,2024-12-25,250.0,debited,zomato ltd,-250.0,2024,12,25,415689467824,Food & Dining
ac x3311 credit upidrc51959705437214072025 rs 80.00 150725. avl bal rs 300.58.sbi,2025-07-15,80.0,credited,unknown,80.0,2025,7,15,51959705437214072025,Personal & Others
ac xx2799 credited inr 7500.00 240725 170013 upi .available bal inr 72192.49upi ref id 673379425303.,2025-07-24,7500.0,credited,unknown,7500.0,2025,7,24,673379425303,Personal & Others
ac xx2799 credited inr 700.00 200725 160913 upi .available bal inr 73192.49upi ref id 673379425003.,2025-07-20,750.0,credited,unknown,750.0,2025,7,20,673379425003,Personal & Others
ac xx2799 credited inr 500.00 150725 10044 upi .available bal inr 70000.49upi ref id 674479495303.,2025-07-15,700.0,credited,unknown,700.0,2025,7,15,674479495303,Personal & Others
ac xx2799 debited inr 110.00 291124 170013 upi .available bal inr 62923.49upi ref id 039377584741.,2024-11-29,500.0,debited,unknown,-500.0,2024,11,29,039377584741,Personal & Others
ac xx2799 debited inr 60.0 dt 291124 1748 thru upi89131934843 .bal inr 62863.96 u fwd sms 9264092640,2024-11-29,110.0,debited,unknown,-110.0,2024,11,29,,Personal & Others
ac xx2799 debited inr 3000.0 dt 141124 1521 thru upi583515504474 .bal inr 53883.96 u fwd sms 9264092640,2024-11-29,60.0,debited,unknown,-60.0,2024,11,29,583515504474,Personal & Others
ac xx2799 debited inr 4959.12 dt 241024 1341 thru upi429813649234 .bal inr 61879.78 u fwd sms 9264092640,2024-11-14,3000.0,debited,unknown,-3000.0,2024,11,14,429813649234,Personal & Others
"inr 200.00 spent icici bank card xx2078 26jun24 jagdish ram and.avl lmt inr 24,368.98.",2024-10-24,4959.0,debited,jagdish ram and,-4959.0,2024,10,24,,Personal & Others
airtel payments bank ac credited rs.52.00. txn id 517480719427. call 180023400 help,2024-01-26,200.0,credited,airtel payments bank,200.0,2024,1,26,517480719427,Financial
rs. 80.00 debited airtel payments bank ac txn id 517448580804 bal1447.39 call 180023400 help,2024-11-11,52.0,debited,airtel payments bank,-52.0,2024,11,11,517448580804,Financial
rs. 10.00 debited airtel payments bank ac txn id 517346022666 bal1527.39 call 180023400 help,2025-12-02,80.0,debited,airtel payments bank,-80.0,2025,12,2,517346022666,Financial
rs. 30.00 debited airtel payments bank ac txn id 553892837871 bal1537.39 call 180023400 help,2024-06-12,10.0,debited,airtel payments bank,-10.0,2024,6,12,553892837871,Financial
rs. 500.00 debited airtel payments bank ac txn id 553842137238 bal1567.39 call 180023400 help,2025-03-23,30.0,debited,airtel payments bank,-30.0,2025,3,23,553842137238,Financial
"flipkart payments requested money phonepe.rs,.430 debited ypur account approving request",2025-04-05,500.0,debited,flipkart payments,-500.0,2025,4,5,,Shopping
rs. 98.00 debited airtel payments bank ac txn id 512629324709 balance44.90 discrepancy dial 180023400,2025-12-07,430.0,debited,airtel payments bank,-430.0,2025,12,7,512629324709,Financial
rs. 55.00 debited airtel payments bank ac txn id 512689800669 balance94.90 discrepancy dial 180023400,2025-07-03,98.0,debited,airtel payments bank,-98.0,2025,7,3,512689800669,Financial
"dear sbi user, ac x5904credited rs.100 16sep24 transfer piyush sharma ref 426090713200 sbi",2024-09-16,55.0,credited,piyush sharma,55.0,2024,9,16,426090713200,Personal & Others
dear upi user ac x5904 debited 10.0 date 10aug24 trf piyush sharma refno 422321929502. u call 1800111109. sbi,2024-10-08,100.0,debited,piyush sharma,-100.0,2024,10,8,422321929502,Personal & Others
dear upi user ac x5904 debited 50.0 date 16may24 trf guru prashad refno 413768374038. u call 1800111109. sbi,2024-05-16,10.0,debited,guru prashad so,-10.0,2024,5,16,413768374038,Personal & Others
"dear sbi upi user, ur acx5904 credited rs10 16may24 ref 413768277919",2024-04-16,50.0,credited,unknown,50.0,2024,4,16,413768277919,Personal & Others
"ac xxxxx455904 credit upidrc42811260420207102024 rs 800.00 091024. avl bal rs 2,471.00.sbi",2024-09-10,10.0,credited,unknown,10.0,2024,9,10,42811260420207102024,Personal & Others
dear upi user ac x3311 debited 200.0 0n date 12jan24 trf gupta cafe refno 415040899790.if ucall 1800111109 sbi,2024-12-01,800.0,debited,gupta cafe,-800.0,2024,12,1,415040899790,Food & Dining
dear upi user ac x3311 debited 80.0 0n date 7may24 trf gupta cafe refno 419040819790.if ucall 1800111109 sbi,2024-07-05,200.0,debited,gupta cafe,-200.0,2024,7,5,419040819790,Food & Dining
dear upi user ac x5904 debited 500.0 date 08oct24 trf rahul thakur refno 428283392229. u call 1800111109. sbi,2024-08-10,80.0,debited,rahul thakur,-80.0,2024,8,10,428283392229,Personal & Others
dear upi user ac x5904 debited 30.0 date 22apr24 trf gupta cafe refno 447936055966. u call 1800111109. sbi,2024-04-22,500.0,debited,gupta cafe,-500.0,2024,4,22,447936055966,Food & Dining
"flipkart payments requested money phonepe.rs,.1240 debited account approving request",2025-11-05,30.0,debited,flipkart payments,-30.0,2025,11,5,,Shopping
"flipkart payments requested money phonepe.rs,.899 debited account approving request",2024-12-25,1240.0,debited,flipkart payments,-1240.0,2024,12,25,,Shopping
"flipkart payments requested money phonepe.rs,.326 debited account approving request",2024-11-21,899.0,debited,flipkart payments,-899.0,2024,11,21,,Shopping
dear upi user ac x3311 debited 280.0 0n date 12jun24 trf gupta cafe refno 415040899980.if ucall 1800111109 sbi,2024-12-01,326.0,debited,gupta cafe,-326.0,2024,12,1,415040899980,Food & Dining
"sbi customer, rs.3000 withdrawn sbi atm bhng050298002 acx5904 06mar24 transaction number 5805. available balance rs.313.35.",2024-06-03,280.0,debited,unknown,-280.0,2024,6,3,,Personal & Others
dear upi user ac x3311 debited 200.0 0n date 30dec24 trf narender kumar refno 445606816668.if ucall 1800111109 sbi,2024-12-30,3000.0,debited,narender kumar,-3000.0,2024,12,30,445606816668,Personal & Others
dear upi user ac x3311 debited 120.0 0n date 30dec24 trf mahender pal refno 296642999431.if ucall 1800111109 sbi,2024-12-30,200.0,debited,mahender pal,-200.0,2024,12,30,296642999431,Personal & Others
dear upi user ac x5904 debited 19.0 date 28feb24 trf google india dig refno 405997917167. u call 1800111109. sbi,2024-02-28,19.0,debited,google india dig,-19.0,2024,2,28,405997917167,Bills & Utilities
"dear sbi upi user, ur acx5904 credited rs150 24dec23 ref 335878554646",2023-12-24,150.0,credited,unknown,150.0,2023,12,24,335878554646,Personal & Others
"dear sbi upi user, ur acx5904 credited rs3000 20dec23 ref 335479945939",2023-12-20,3000.0,credited,unknown,3000.0,2023,12,20,335479945939,Personal & Others
dear upi user ac x3311 debited 493.0 0n date 29apr24 trf rashmi rana refno 412040899790.if ucall 1800111109 sbi,2024-04-29,493.0,debited,rashmi rana,-493.0,2024,4,29,412040899790,Personal & Others
flipkart payments requested money phonepe .rs.120 debited account approving request,2024-09-19,120.0,debited,flipkart payments,-120.0,2024,9,19,,Shopping
dear upi user ac x3311 debited 89.0 0n date 12apr24 trf kashish thakur refno 419220899790.if ucall 1800111109 sbi,2024-12-04,89.0,debited,kashish thakur,-89.0,2024,12,4,419220899790,Other
dear upi user ac x3311 debited 20.0 0n date 12jan25 trf gupta traders refno 422040099770.if ucall 1800111109 sbi,2025-12-01,20.0,debited,gupta traders,-20.0,2025,12,1,422040099770,Other
dear upi user ac x3311 debited 45.0 0n date 4feb24 trf rashmi rana refno 412040811790.if ucall 1800111109 sbi,2024-04-02,45.0,debited,rashmi rana,-45.0,2024,4,2,412040811790,Personal & Others
"dear customer, ac no. xxxx2764 debited rs. 1017.75 18may25 towards rahul mehta upi transaction ref 573232967156 pnb amazon pay.",2025-05-18,1017.75,debited,rahul mehta,-1017.75,2025,5,18,573232967156,Personal & Others
"dear customer, ac no. xxxx9688 debited rs. 1599.59 02jul25 towards reliance retail upi transaction ref 455796172384 hdfc amazon pay.",2025-02-07,1599.59,debited,reliance retail,-1599.59,2025,2,7,455796172384,Groceries
"dear customer, ac no. xxxx9965 debited rs. 3705.04 12jul25 towards amazon upi transaction ref 249118582452 icici phonepe.",2025-12-07,3705.04,debited,amazon,-3705.04,2025,12,7,249118582452,Shopping
"dear customer, ac no. xxxx7752 debited rs. 574.49 26may25 towards amazon upi transaction ref 770014014724 hdfc phonepe.",2025-05-26,574.49,debited,amazon,-574.49,2025,5,26,770014014724,Shopping
"dear customer, ac no. xxxx1277 debited rs. 212.69 10jun25 towards suraj sharma upi transaction ref 355241331155 sbi google pay.",2025-10-06,212.69,debited,suraj sharma,-212.69,2025,10,6,355241331155,Personal & Others
"dear customer, ac no. xxxx7286 debited rs. 3504.36 18jul25 towards paytm mall upi transaction ref 401771459275 hdfc bhim.",2025-07-18,3504.36,debited,paytm mall,-3504.36,2025,7,18,401771459275,Shopping
"dear customer, ac no. xxxx1030 debited rs. 3499.58 07may25 towards amazon upi transaction ref 673582874593 pnb google pay.",2025-07-05,3499.58,debited,amazon,-3499.58,2025,7,5,673582874593,Shopping
"dear customer, ac no. xxxx6112 debited rs. 4584.04 22jul25 towards amazon upi transaction ref 189854031481 sbi bhim.",2025-07-22,4584.04,debited,amazon,-4584.04,2025,7,22,189854031481,Shopping
"dear customer, ac no. xxxx4256 debited rs. 4998.24 28jun25 towards rahul mehta upi transaction ref 792322599755 sbi bhim.",2025-06-28,4998.24,debited,rahul mehta,-4998.24,2025,6,28,792322599755,Personal & Others
"dear customer, ac no. xxxx8113 debited rs. 2442.32 12jun25 towards paytm mall upi transaction ref 825867424499 pnb phonepe.",2025-12-06,2442.32,debited,paytm mall,-2442.32,2025,12,6,825867424499,Shopping
"dear customer, ac no. xxxx6241 debited rs. 2713.68 28jun25 towards amazon upi transaction ref 846213301344 icici google pay.",2025-06-28,2713.68,debited,amazon,-2713.68,2025,6,28,846213301344,Shopping
"dear customer, ac no. xxxx6590 debited rs. 4583.16 27may25 towards amazon upi transaction ref 305598480017 icici phonepe.",2025-05-27,4583.16,debited,amazon,-4583.16,2025,5,27,305598480017,Shopping
"dear customer, ac no. xxxx3241 debited rs. 1656.82 30may25 towards rahul mehta upi transaction ref 229841160279 icici google pay.",2025-05-30,1656.82,debited,rahul mehta,-1656.82,2025,5,30,229841160279,Personal & Others
"dear customer, ac no. xxxx4690 debited rs. 310.99 13jun25 towards reliance retail upi transaction ref 381320876556 sbi amazon pay.",2025-07-13,310.99,debited,reliance retail,-310.99,2025,7,13,381320876556,Groceries
"dear customer, ac no. xxxx8925 debited rs. 1170.12 26may25 towards zomato upi transaction ref 935380327817 icici phonepe.",2025-05-26,1170.12,debited,zomato,-1170.12,2025,5,26,935380327817,Food & Dining
"dear customer, ac no. xxxx7519 debited rs. 2584.74 09jul25 towards flipkart upi transaction ref 302694171694 sbi phonepe.",2025-09-07,2584.74,debited,flipkart,-2584.74,2025,9,7,302694171694,Shopping
"dear customer, ac no. xxxx9334 debited rs. 466.09 01aug25 towards paytm mall upi transaction ref 468072473433 pnb paytm.",2025-01-08,466.09,debited,paytm mall,-466.09,2025,1,8,468072473433,Shopping
"dear customer, ac no. xxxx8220 debited rs. 3581.37 25jun25 towards flipkart upi transaction ref 874078835195 icici amazon pay.",2025-06-25,3581.37,debited,flipkart,-3581.37,2025,6,25,874078835195,Shopping
"dear customer, ac no. xxxx7552 debited rs. 2409.72 05jun25 towards rahul mehta upi transaction ref 494727288993 sbi google pay.",2025-05-06,2409.72,debited,rahul mehta,-2409.72,2025,5,6,494727288993,Personal & Others
"dear customer, ac no. xxxx7353 debited rs. 3728.26 29jun25 towards rahul mehta upi transaction ref 895579218483 pnb paytm.",2025-06-29,3728.26,debited,rahul mehta,-3728.26,2025,6,29,895579218483,Personal & Others
"dear customer, ac no. xxxx5474 debited rs. 159.25 27jul25 towards suraj sharma upi transaction ref 601977841524 icici google pay.",2025-07-27,159.25,debited,suraj sharma,-159.25,2025,7,27,601977841524,Personal & Others
"dear customer, ac no. xxxx5579 debited rs. 750.56 06jul25 towards zomato upi transaction ref 474221864075 hdfc phonepe.",2025-06-07,750.56,debited,zomato,-750.56,2025,6,7,474221864075,Food & Dining
"dear customer, ac no. xxxx4501 debited rs. 2834.71 27jul25 towards suraj sharma upi transaction ref 564832477629 sbi amazon pay.",2025-07-27,2834.71,debited,suraj sharma,-2834.71,2025,7,27,564832477629,Personal & Others
"dear customer, ac no. xxxx3324 debited rs. 205.72 09jul25 towards reliance retail upi transaction ref 750721980083 icici phonepe.",2025-09-07,205.72,debited,reliance retail,-205.72,2025,9,7,750721980083,Groceries
"dear customer, ac no. xxxx7548 debited rs. 597.84 04jul25 towards suraj sharma upi transaction ref 590033102646 icici bhim.",2025-04-07,597.84,debited,suraj sharma,-597.84,2025,4,7,590033102646,Personal & Others
"dear customer, ac no. xxxx2678 debited rs. 1755.68 21jun25 towards reliance retail upi transaction ref 740958167675 hdfc google pay.",2025-07-21,1755.68,debited,reliance retail,-1755.68,2025,7,21,740958167675,Groceries
"dear customer, ac no. xxxx3077 debited rs. 3870.19 09jun25 towards paytm mall upi transaction ref 839458280723 pnb bhim.",2025-09-07,3870.19,debited,paytm mall,-3870.19,2025,9,7,839458280723,Shopping
"dear customer, ac no. xxxx4650 debited rs. 241.74 11jul25 towards zomato upi transaction ref 305397963476 hdfc phonepe.",2025-11-07,241.74,debited,zomato,-241.74,2025,11,7,305397963476,Food & Dining
"dear customer, ac no. xxxx6855 debited rs. 4162.89 23jun25 towards rahul mehta upi transaction ref 621948468535 pnb bhim.",2025-06-23,4162.89,debited,rahul mehta,-4162.89,2025,6,23,621948468535,Personal & Others
"dear customer, ac no. xxxx2206 debited rs. 4367.11 26jun25 towards zomato upi transaction ref 368882942739 sbi amazon pay.",2025-06-26,4367.11,debited,zomato,-4367.11,2025,6,26,368882942739,Food & Dining
"dear customer, ac no. xxxx7765 debited rs. 2631.87 13jul25 towards zomato upi transaction ref 260221839316 icici bhim.",2025-07-13,2631.87,debited,zomato,-2631.87,2025,7,13,260221839316,Food & Dining
"dear customer, ac no. xxxx7897 debited rs. 1367.94 16jun25 towards zomato upi transaction ref 585550499487 pnb amazon pay.",2025-06-16,1367.94,debited,zomato,-1367.94,2025,6,16,585550499487,Food & Dining
"dear customer, ac no. xxxx9921 debited rs. 1955.06 02jun25 towards zomato upi transaction ref 526244594372 pnb google pay.",2025-02-06,1955.06,debited,zomato,-1955.06,2025,2,6,526244594372,Food & Dining
"dear customer, ac no. xxxx4708 debited rs. 763.21 03jul25 towards amazon upi transaction ref 422837361375 pnb phonepe.",2025-03-06,763.21,debited,amazon,-763.21,2025,3,6,422837361375,Shopping
"dear customer, ac no. xxxx7223 debited rs. 4485.32 03may25 towards paytm mall upi transaction ref 328422225872 axis google pay.",2025-03-05,4485.32,debited,paytm mall,-4485.32,2025,3,5,328422225872,Shopping
"dear customer, ac no. xxxx9728 debited rs. 2747.68 09may25 towards rahul mehta upi transaction ref 510229649752 sbi google pay.",2025-09-05,2747.68,debited,rahul mehta,-2747.68,2025,9,5,510229649752,Personal & Others
"dear customer, ac no. xxxx5982 debited rs. 4293.93 24may25 towards paytm mall upi transaction ref 315144773645 axis amazon pay.",2025-05-24,4293.93,debited,paytm mall,-4293.93,2025,5,24,315144773645,Shopping
"dear customer, ac no. xxxx7368 debited rs. 1028.76 01jun25 towards reliance retail upi transaction ref 516295502155 icici google pay.",2025-01-06,1028.76,debited,reliance retail,-1028.76,2025,1,6,516295502155,Groceries
"dear customer, ac no. xxxx5911 debited rs. 4074.8 22may25 towards suraj sharma upi transaction ref 349298229017 pnb amazon pay.",2025-05-22,4074.8,debited,suraj sharma,-4074.8,2025,5,22,349298229017,Personal & Others
"dear customer, ac no. xxxx5054 debited rs. 2295.15 16may25 towards reliance retail upi transaction ref 776112961826 sbi amazon pay.",2025-05-16,2295.15,debited,reliance retail,-2295.15,2025,5,16,776112961826,Groceries
"dear customer, ac no. xxxx5635 debited rs. 2148.95 15jul25 towards amazon upi transaction ref 943949484404 axis bhim.",2025-07-15,2148.95,debited,amazon,-2148.95,2025,7,15,943949484404,Shopping
"dear customer, ac no. xxxx6425 debited rs. 3460.92 06jun25 towards amazon upi transaction ref 112496363150 icici bhim.",2025-06-06,3460.92,debited,amazon,-3460.92,2025,6,6,112496363150,Shopping
"dear customer, ac no. xxxx1630 debited rs. 2542.58 19jul25 towards suraj sharma upi transaction ref 526614339511 axis paytm.",2025-07-19,2542.58,debited,suraj sharma,-2542.58,2025,7,19,526614339511,Personal & Others
"dear customer, ac no. xxxx7930 debited rs. 924.93 06jul25 towards rahul mehta upi transaction ref 427289225458 icici paytm.",2025-06-07,924.93,debited,rahul mehta,-924.93,2025,6,7,427289225458,Personal & Others
"dear customer, ac no. xxxx7286 debited rs. 961.84 30jun25 towards reliance retail upi transaction ref 951159877170 icici amazon pay.",2025-06-30,961.84,debited,reliance retail,-961.84,2025,6,30,951159877170,Groceries
"dear customer, ac no. xxxx3744 debited rs. 1717.32 23jun25 towards paytm mall upi transaction ref 230290241394 pnb bhim.",2025-06-23,1717.32,debited,paytm mall,-1717.32,2025,6,23,230290241394,Shopping
"dear customer, ac no. xxxx9171 debited rs. 4800.46 18jul25 towards zomato upi transaction ref 327176934222 sbi google pay.",2025-07-18,4800.46,debited,zomato,-4800.46,2025,7,18,327176934222,Food & Dining
"dear customer, ac no. xxxx2420 debited rs. 2508.31 25jun25 towards flipkart upi transaction ref 239148182281 hdfc google pay.",2025-06-25,2508.31,debited,flipkart,-2508.31,2025,6,25,239148182281,Shopping
